"ResponseID","word1","word2","word3","word4","word5","word6","word7","word8","word9","word10","word11","word12","word13","word14","word15","word16","word17","word18","word19","word20"
"R_0qBTwOWEd7HnVxb","gridlock","gerrymandering","we need a parliamentary system","political action committees","citizens united vs. federal election commission","voter i.d.","voter suppression","we need  term limits","why do i bother voting","we need mandatory voting","the worst system except for all the others","","","","","","","","",""
"R_ey4Wh1st57NOqmF","freedom","voting","everybody has a say","majority rules","empowerment","elections","","","","","","","","","","","","","",""
"R_3F4uANXt3hgmW3P","freedom","happiness","fair","pleasant","wonderful","","","","","","","","","","","","","","",""
"R_0lfPs98cHfJbz5H","choice","freedom","a voice, a say in the system","open mindedness","debate","civility","equality","for the people by the people","","","","","","","","","","","",""
"R_88q5pDIwbv3i4zX","voting","booth","stickers","wars","polls","congress","united states","communism","","","","","","","","","","","",""
"R_3V0ueco4zqjSGeV","people","choice","vote","risky","politics","lobbying","popular","","","","","","","","","","","","",""
"R_blpTImqLM4PiZzT","RIGHTS","VOTING","REPRESENTATION","EQUALITY","GOVERNMENT","SENATE","HOUSE OF REPRESENTATIVES","CONSTITUTION","FOUNDING FATHERS","PLEDGE OF ALLEGIANCE","","","","","","","","","",""
"R_cvuUUfAz7ap09Dv","Change","Freedom","Obama","Hope","Truth","People","Live","Choice","","","","","","","","","","","",""
"R_cYoIIsDTsU03Jtz","freedom","voting","usa","capitalism","religious freedom","opportunity","liberty","persuit of happiness","","","","","","","","","","","",""
"R_eQhsiDwGaOPsLVH","voting","liberty","freedom","concensus","representation","government","grassroots","politics","gerrymandering","","","","","","","","","","",""
"R_9NdB2QkO1s7QTIN","governement","laws","constitution","presidents","America","Courts","senate","","","","","","","","","","","","",""
"R_db904nKba2pG1SJ","freedom","justice","balance","fairness","captialism","equality","integrity","","","","","","","","","","","","",""
"R_2t151n8hpn8Svxr","freedom of speech","freedom of press","freedom to vote","equal rights","no discrimination ","government by the people","","","","","","","","","","","","","",""
"R_07oCUsR0687xLUh","voting","representation","majority","campaigns","advertisements","Athens","West","America","elections","propositions","lobbying","","","","","","","","",""
"R_bfQBzbLK2DsOf9b","Freedom","Choice","Equality ","Happiness ","Independence","America","","","","","","","","","","","","","",""
"R_6nulqdXTM1HzcJT","voting","representation","freedom","politics","will of the people","","","","","","","","","","","","","","",""
"R_02M0viwNfanWjGJ","rights ","choices","views","fair","good","freedom","","","","","","","","","","","","","",""
"R_1R06M2zTKpTEGY5","government","citizens","voting","rights","politics","power","the people","freedom","equality","community","social","respect","unity"," Democratic","constitution","justice","laws","institution","minorities","majorities"
"R_ewE8jVq3DVew9tr","freedom","choices","elections","voting","representives","government ruled by the people","the people have a say","many people involved in decisions","","","","","","","","","","","",""
"R_cU60UQz13VWDIcB","republic","freedom","power of the people","democrats","republicans","america","government","representative","majority","equal","","","","","","","","","",""
"R_4JlxcxdDBSFqOrP","Voting","Government","Athens","Congress","Senate","Popular vote","Freedom","Politics","Power to the people","Representation","","","","","","","","","",""
"R_6KBpoP8OAkRVzUx","liberating","freedom","human","civil rights","for the people","close to perfect","best we can get","functional","essential","universal","for everyone","","","","","","","","",""
"R_bCNaVTcdjW4d25L","Freedom","Voting ","Equality ","Human Rights ","Privilege ","","","","","","","","","","","","","","",""
"R_50EkBC67FSUCwPr","freedom","together ","republic","liberty","justice","reasonable","communicative","access","demonstrate","commerce","council","city","arrow","ethnic","racy","","","","",""
"R_6tECLOJUl6PCs5v","Freedom","Choice","Government","Voting","Elections","Involvement","America","Europe","Western","","","","","","","","","","",""
"R_etIfUVWz2YGo5IF","government","equal","people","sucess","freedom","liberty","power","majority","votes ","vision","vpoices","rghts","fair","","","","","","",""
"R_e4fqaT3MK4ABkIR","one person one vote","fair","representative","slow","in a rut","since ancient greece","dissapointing","","","","","","","","","","","","",""
"R_1M6dyvlt7tXLnNP","choice","freedom","equality","rights","liberty","","","","","","","","","","","","","","",""
"R_d6xvLwIHpYXnICF","system","voting","majority","minority","equality","people rule","","","","","","","","","","","","","",""
"R_0xjMJBsX7IL2oCh","stupid","doesnt work","easily manipulated","voting in usa is worthless","2 party system is pointless","","","","","","","","","","","","","","",""
"R_4N7CDlaIwuaGQIZ","freedom","elections","citizens have the power","free speech","choice","fair","rights","","","","","","","","","","","","",""
"R_eJ17QUAJH9Lvrw1","Everyone is equally repped by goverment. ","Fair gov","People in power","No elites","Fairness.","","","","","","","","","","","","","","",""
"R_3qPZ0mxUVxoW2Pj","Goverment","electoral system","rights","we the people"," dishonest","choices"," symbolic"," corrupt","","","","","","","","","","","",""
